file,strategy,landings,max_theta_z_deg,max_tilt_deg,max_lateral_speed
20221001_152426,combined,56,70.54938547602654,19.996457756014077,0.5207593555038156
20220928_135416,controller_only,4,39.965313201367124,3.5046308250699845,1.5120196468074523
20220928_135556,controller_only,3,29.635856942306123,3.692905369406744,0.8629752706659267
20220928_135922,controller_only,3,21.949762022174333,4.785407480756814,0.9001525327818407
20220928_140247,controller_only,5,38.13968222712746,4.015312917695712,1.3382724619753599
20221115_123903,stabilizer_only,9,97.39912250777772,81.81138579257792,2.035148994109807
20221115_124141,stabilizer_only,7,43.61973359477858,29.465428364128854,2.057138216798307
20221115_124337,stabilizer_only,7,29.465173271482353,26.46222506820058,1.2202205658869012
20221115_130437,stabilizer_only,12,57.38314158972244,37.28406330403046,2.0635374836047355
