metric,value,threshold,ok
takeoffs,10,10,True
landing_rmse_m,0.310,0.30,True
segment_landings,6,,
segment_rmse_m,0.276,,
paper_lateral_rmse_m,0.227,,
jump_period_s,0.719,,
reference_delay_s,1.078,,
landing_max_err_m,0.400,,
height_rmse_m,0.057,0.12,True
overall,PASS,,
