file,strategy,t_LD,theta_z_deg,phi_deg,tilt_deg,lateral_speed,landing_speed,ratio_next
20221001_152426,combined,8.820460081100464,0.8682919002778168,-3.579223392098535,3.579223392098535,0.032087009995229135,2.1173992537613753,4.254692369301808
20221001_152426,combined,9.592687129974365,3.6943149224385934,-1.3053668421073472,1.3053668421073472,0.1654350298833984,2.5675396398970087,1.1119645818164843
20221001_152426,combined,10.398714065551758,4.107947347827828,-2.4676175698745704,2.4676175698745704,0.1739247868449553,2.4279033170389277,0.575608804485678
20221001_152426,combined,11.244326114654541,2.364570661773288,1.384036076663034,1.384036076663034,0.11059979044206693,2.680698224069828,1.7682681905480886
20221001_152426,combined,12.118974924087524,4.181195085516948,3.690295647647721,3.690295647647721,0.2028836033351715,2.7826250309774196,0.9931400359878177
20221001_152426,combined,13.036364078521729,4.152512237702388,-2.429514023746157,2.429514023746157,0.2413671262753873,3.333266944911071,1.576671778147779
20221001_152426,combined,13.923869132995605,6.547148853598637,5.416857590253729,5.416857590253729,0.3162170445003566,2.7733279965480877,0.296934471560045
20221001_152426,combined,14.848627090454102,1.9440741850682657,1.0556594528240293,1.0556594528240293,0.11287872357554862,3.3274016246364315,0.8016247300045716
20221001_152426,combined,15.713736057281494,1.558417943714206,-2.750485037793507,2.750485037793507,0.0758571652009091,2.7892590585740864,1.341381622280858
20221001_152426,combined,16.58124303817749,2.0904331895309607,-2.361732407078274,2.361732407078274,0.09906279341660919,2.715771752847435,1.7590878264566032
20221001_152426,combined,17.275348901748657,3.6772555757247622,-2.614272613299143,2.614272613299143,0.13102275628562568,2.042884154867442,0.5912999855157323
20221001_152426,combined,18.115339994430542,2.1743611686636974,2.6570208967970625,2.6570208967970625,0.09202690262219841,2.42554872364506,2.50888189367848
20221001_152426,combined,18.943300008773804,5.45521536637793,3.8888393950160927,3.8888393950160927,0.2773788412708695,2.917698569197802,0.11518445178211581
20221001_152426,combined,19.75640606880188,0.6283559913296158,-1.7887694545346795,1.7887694545346795,0.03372176115595242,3.074934192119262,2.1750105847180023
20221001_152426,combined,20.601613998413086,1.3666809321128877,1.9568475407096924,1.9568475407096924,0.06249093098684117,2.6200747161883755,1.417202956214031
20221001_152426,combined,21.468271017074585,1.9368642571917316,-0.6676479285787483,0.6676479285787483,0.1020455681207799,3.0192586139966746,2.343340162268819
20221001_152426,combined,22.34895920753479,4.538731802740347,4.122431022903542,4.122431022903542,0.2198208374031171,2.777865889188355,0.5014553176834892
20221001_152426,combined,23.286980152130127,2.275971198023316,-4.466845677495706,4.466845677495706,0.13274080887612769,3.342524127590744,3.3818367135100744
20221001_152426,combined,24.13525390625,7.696962956366758,7.1200634644718965,7.1200634644718965,0.3345497327187994,2.4978764919399663,0.47877130668416873
20221001_152426,combined,24.99585199356079,3.6850850121193552,3.8506173075616914,3.8506173075616914,0.173834015317085,2.7046392471033553,1.0484316844037538
20221001_152426,combined,25.80696415901184,3.863559886427323,3.8652578410056773,3.8652578410056773,0.2263951691942492,3.359938408272391,0.9016104597129023
20221001_152426,combined,26.629390001296997,3.4834260053300676,-3.1022901565560654,3.1022901565560654,0.1599661543443978,2.632762767335413,2.4690230059608154
20221001_152426,combined,27.284929990768433,8.600658946722119,-3.0949838446087394,3.0949838446087394,0.2864886767319953,1.915713607605804,0.7354255821732972
20221001_152426,combined,28.073748111724854,6.325144612967091,3.4037888598529187,3.4037888598529187,0.2727453547042301,2.475665795800828,0.5635940471460424
20221001_152426,combined,28.653264045715332,3.564813851206111,-1.5061159839999423,1.5061159839999423,0.1449352375333879,2.3309877666565706,1.702262002460045
20221001_152426,combined,29.369226932525635,6.068247164751419,1.2332331763092024,1.2332331763092024,0.25085974610893264,2.3730264283135734,1.1953109583790853
20221001_152426,combined,30.10619306564331,7.253442334180186,1.2954697725580686,1.2954697725580686,0.25156920744918626,1.992492154618417,0.7596983107011287
20221001_152426,combined,30.83889412879944,5.510427888044739,2.061386978464601,2.061386978464601,0.24400043817262845,2.540958862142121,0.6165462277550727
20221001_152426,combined,31.63087821006775,3.397433527690336,2.715557292391871,2.715557292391871,0.1439211928490415,2.428571784082496,0.3940237813902695
20221001_152426,combined,32.43795704841614,1.338669605602629,-1.2801805239644344,1.2801805239644344,0.06850054006436028,2.932126738005003,1.7766859525954772
20221001_152426,combined,33.3053879737854,2.378395483440719,-2.1103935489720915,2.1103935489720915,0.11484357482618546,2.7673876370752306,1.586968902367896
20221001_152426,combined,34.160964012145996,3.7744396697526787,3.5866602667974647,3.5866602667974647,0.18896559764808601,2.8705628045386713,0.9334417402108254
20221001_152426,combined,35.002254009246826,3.5232195336547134,2.3189611685729865,2.3189611685729865,0.20667209764186242,3.3630901141032745,0.3755158482821613
20221001_152426,combined,35.86234998703003,1.3230247718646304,1.9607264280923662,1.9607264280923662,0.08257325735619911,3.5762895083093817,0.7322449042398839
20221001_152426,combined,36.73026084899902,0.9687781473810105,-2.4351148375500893,2.4351148375500893,0.0472625443263645,2.795349338677468,2.5149540811146935
20221001_152426,combined,37.618375062942505,2.4364325554506046,1.9702102840055142,1.9702102840055142,0.14374547446663885,3.381374818865676,1.063096768240995
20221001_152426,combined,38.51932096481323,2.5901635757366868,2.6812539004311486,2.6812539004311486,0.13949845692902837,3.086830477431433,0.22340500708961836
20221001_152426,combined,39.45152401924133,0.5786555120007257,0.6676332174982671,0.6676332174982671,0.036273147584691086,3.5916595525653334,4.650883942415051
20221001_152426,combined,40.313204288482666,2.691259628954135,2.8336504449139177,2.8336504449139177,0.16525522754398753,3.519507959999697,0.3023950958547426
20221001_152426,combined,41.26842427253723,0.8138237134675848,-1.6907224916549946,1.6907224916549946,0.043072863761822684,3.0325686625696426,4.79653219706158
20221001_152426,combined,42.16123700141907,3.9035316443794885,2.8455702437238486,2.8455702437238486,0.20020493055870286,2.9408692815645705,0.1974156142896007
20221001_152426,combined,43.05604410171509,0.7706180974740718,-5.592945310530375,5.592945310530375,0.04003488501597274,2.976700277082026,10.409031440223004
20221001_152426,combined,43.98025321960449,8.021388005012449,4.587130683613436,4.587130683613436,0.4179009623107097,2.994788075698248,0.19186930453728546
20221001_152426,combined,44.93163204193115,1.5390581379454622,0.9442314621532762,0.9442314621532762,0.09555044122946586,3.5575624479176664,1.397707222295103
20221001_152426,combined,45.84062314033508,2.1511526749384253,2.5300638496068553,2.5300638496068553,0.1165368509822252,3.104679052230371,0.9116189511334741
20221001_152426,combined,46.545921087265015,1.9610315452553346,-2.642801834254121,2.642801834254121,0.08494323546156682,2.4822850257527658,2.1151136960887427
20221001_152426,combined,47.318684101104736,4.147804679831629,1.7024388593112512,1.7024388593112512,0.1844197155128126,2.549711750641926,0.7096737491874162
20221001_152426,combined,48.12106204032898,2.9435880980332225,0.6676572900065889,0.6676572900065889,0.12947939144470694,2.521374221152328,1.2745817271911972
20221001_152426,combined,48.87595891952515,3.7518436021306356,1.7776997541708504,1.7776997541708504,0.1702535169492367,2.601862912945007,1.3743907967211408
20221001_152426,combined,49.6719810962677,5.156499317505439,2.976065044857874,2.976065044857874,0.2874505111555561,3.198285149339128,0.9692301985484914
20221001_152426,combined,50.48102283477783,4.997834857320957,-2.7538223315473824,2.7538223315473824,0.23301697860996898,2.6747252865854256,0.5518987276546928
20221001_152426,combined,52.05195999145508,2.758298698783709,1.4166885960653477,1.4166885960653477,0.12924107056930687,2.685651465102393,1.4155457600744332
20221001_152426,combined,52.801817178726196,3.9044980280821058,2.987065423582448,2.987065423582448,0.19662751191975902,2.8876057562439663,1.1915414329580023
20221001_152426,combined,53.569206953048706,4.652371175362647,-5.4304087010353355,5.4304087010353355,0.1905376708639942,2.3491268714879503,1.571767535026725
20221001_152426,combined,54.437905073165894,7.312445974329135,-8.302473638956007,8.302473638956007,0.3020494132853248,2.3731085137964083,9.647850489931168
20221001_152426,combined,56.00117015838623,70.54938547602654,-19.996457756014077,19.996457756014077,0.5207593555038156,0.5522785190235519,nan
20220928_135416,controller_only,15.406877756118774,0.0870641445551054,-3.5046308250699845,3.5046308250699845,0.004265843026469851,2.807296813079921,117.83556285069993
20220928_135416,controller_only,16.10277771949768,10.259252477765546,-1.835676289587766,1.835676289587766,0.4182053916300333,2.348116977554318,2.1480744977809696
20220928_135416,controller_only,16.733609914779663,22.03763861378439,-2.130407815912713,2.130407815912713,0.7756713084626069,2.0672683028194436,1.8135025218341267
20220928_135416,controller_only,17.33147382736206,39.965313201367124,-3.2814856483817456,3.2814856483817456,1.5120196468074523,2.3539837894202633,nan
20220928_135556,controller_only,6.555937051773071,0.30121731144440245,-2.918855149489593,2.918855149489593,0.014280928210912073,2.7164464062317686,37.89010497577459
20220928_135556,controller_only,7.171399831771851,11.413155551148998,-3.692905369406744,3.692905369406744,0.3992634783770055,2.017680461874467,2.596640062381572
20220928_135556,controller_only,7.793100833892822,29.635856942306123,-2.2228483376757824,2.2228483376757824,0.8629752706659267,1.7451968563138396,nan
20220928_135922,controller_only,8.51767897605896,0.31720822178724056,-2.5736043192035094,2.5736043192035094,0.013781437161165153,2.4892867350026617,19.677860595353735
20220928_135922,controller_only,9.197771072387695,6.24197916802937,-4.785407480756814,4.785407480756814,0.284440128304242,2.616077473152625,3.516474732020614
20220928_135922,controller_only,9.862582921981812,21.949762022174333,-4.57873462059446,4.57873462059446,0.9001525327818407,2.408154732415901,nan
20220928_140247,controller_only,4.848870038986206,0.7431648986003252,-0.9157196216314267,0.9157196216314267,0.03240692191571556,2.498546313085426,7.869757427250667
20220928_140247,controller_only,5.526759147644043,5.848527480431898,-2.714091854209783,2.714091854209783,0.25589251596486207,2.5112395016989715,3.097819948688523
20220928_140247,controller_only,6.208059072494507,18.11768509933496,1.999745362114866,1.999745362114866,0.6185667937594547,1.9891538846313277,1.4438271161953922
20220928_140247,controller_only,6.921489238739014,26.158805029109022,2.797042903193931,2.797042903193931,1.0125825969161044,2.296831581344148,1.4580055237495115
20220928_140247,controller_only,7.662581920623779,38.13968222712746,4.015312917695712,4.015312917695712,1.3382724619753599,2.166959492623669,nan
20221115_123903,stabilizer_only,20.848641872406006,0.7774789572165085,-3.144702015331811,3.144702015331811,0.04710899858416067,3.4717719449854547,7.770664557868772
20221115_123903,stabilizer_only,21.869303941726685,6.041528177331093,-14.306905048543566,14.306905048543566,0.34993928418722126,3.3248619088396705,4.1691540764312505
20221115_123903,stabilizer_only,22.761936902999878,25.18806182839419,19.627136428673797,19.627136428673797,1.2699629121023208,2.984000252703655,0.5405310312601048
20221115_123903,stabilizer_only,23.671573162078857,13.614929035545192,19.184560396155703,19.184560396155703,0.6675112300716979,2.8357025807678347,1.5047923873886986
20221115_123903,stabilizer_only,24.655844926834106,20.48764156752576,31.742804176997065,31.742804176997065,0.9972381201156609,2.8492083230347043,2.539780201448112
20221115_123903,stabilizer_only,25.328155994415283,52.03410642756728,49.8230495042538,49.8230495042538,2.035148994109807,2.5814410364389,1.3500045633721274
20221115_123903,stabilizer_only,25.446265935897827,70.24628112820677,-62.901984034220426,62.901984034220426,0.9117883990922439,0.9687982214744169,1.3865377774236074
20221115_123903,stabilizer_only,25.67094111442566,97.39912250777772,-79.54560460933475,79.54560460933475,1.2068527325634735,1.2169864144011555,0.7716474683722898
20221115_123903,stabilizer_only,25.885344743728638,75.15778630480919,-81.81138579257792,81.81138579257792,1.6932420014095444,1.751687180902175,nan
20221115_124141,stabilizer_only,9.585967302322388,1.2172306236509398,-4.328746906849825,4.328746906849825,0.07378720374332624,3.473469456029498,6.743244993789832
20221115_124141,stabilizer_only,10.580258131027222,8.208084309221876,14.294509945721432,14.294509945721432,0.5256505808050063,3.6818363887657313,2.0420111657557856
20221115_124141,stabilizer_only,11.663840055465698,16.760999808895935,26.952885776710495,26.952885776710495,1.06170642598917,3.6816216705109297,2.6024541550097338
20221115_124141,stabilizer_only,12.49833607673645,43.61973359477858,29.465428364128854,29.465428364128854,2.057138216798307,2.981926216844683,0.5690828930776516
20221115_124141,stabilizer_only,14.376880884170532,24.823244189393026,21.312702717800935,21.312702717800935,1.1678720312832873,2.781837776854147,0.6639464988753058
20221115_124141,stabilizer_only,15.252983093261719,16.48130607027428,16.47424862720963,16.47424862720963,0.5028697106011818,1.7725248091845263,0.6618929850037982
20221115_124141,stabilizer_only,16.115448236465454,10.908860871615062,-21.502607873582463,21.502607873582463,0.46802013744489473,2.4730610819457644,nan
20221115_124337,stabilizer_only,8.654612064361572,0.5762785714783826,-2.9187952544582965,2.9187952544582965,0.03552257729201115,3.5318475704443175,9.541533447451972
20221115_124337,stabilizer_only,9.383594036102295,5.498581264810829,4.316663317714402,4.316663317714402,0.2803960972493423,2.9262457114939884,1.4116279315139366
20221115_124337,stabilizer_only,10.232069253921509,7.761950897106196,8.291297414683621,8.291297414683621,0.3284127442197445,2.431649407115426,1.1041280877723298
20221115_124337,stabilizer_only,11.13532018661499,8.570188001404585,-17.662778007238284,17.662778007238284,0.41654699667564865,2.795226171760305,3.4381011556168017
20221115_124337,stabilizer_only,12.007382154464722,29.465173271482353,19.243737310469424,19.243737310469424,1.2202205658869012,2.4806553773271816,0.47680984745789984
20221115_124337,stabilizer_only,12.884757041931152,14.049284772896089,12.619091554894236,12.619091554894236,0.6811841265623904,2.8060394048578194,0.8827533186235705
20221115_124337,stabilizer_only,13.890994310379028,12.402052757561618,-26.46222506820058,26.46222506820058,0.6467110124662907,3.0111749918356856,nan
20221115_130437,stabilizer_only,3.420173168182373,0.45098323626365544,-2.7537231858264772,2.7537231858264772,0.023454956898801307,2.9798977158183635,10.473802763489324
20221115_130437,stabilizer_only,4.4128172397613525,4.723509466265633,-11.03000925144415,11.03000925144415,0.30407554420592964,3.6925925782442155,3.6125969460771095
20221115_130437,stabilizer_only,5.489422082901001,17.064135872597543,24.384182186524242,24.384182186524242,1.0347021323641303,3.526087476551833,1.705648667272454
20221115_130437,stabilizer_only,6.404287099838257,29.10542060925207,23.406921876183524,23.406921876183524,1.3429317745211289,2.7608592898570348,0.5268088667892061
20221115_130437,stabilizer_only,7.279168128967285,15.33299364858329,17.189633028935297,17.189633028935297,0.7238974965038478,2.7375931435986716,1.1189617948536554
20221115_130437,stabilizer_only,8.231189012527466,17.157034093498456,22.33818789149964,22.33818789149964,0.953542007076231,3.232437751931384,1.2851014270216141
20221115_130437,stabilizer_only,9.173537015914917,22.048528997013353,32.50246635274752,32.50246635274752,1.0826631954356063,2.8840887498526957,2.602583673382267
20221115_130437,stabilizer_only,9.757993936538696,57.38314158972244,37.28406330403046,37.28406330403046,2.0635374836047355,2.449902156189153,0.36973135282776703
