type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.65,0.0,0.0,0.24148560000000083,nan,nan,0.0,0.0,1.0,
cycle,1,2.7,0.0,0.0,0.2530780102706494,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,1,,,,,,,3.05,4.652767853755472e-20,-7.02788122816885e-21,0.6166808461277122,0.5,3.334543004059929,0.14011148698629824,0.1427192040844132,0.03750490440320341,0.038202934970400344,0.9985659306752629,0.0544682225794614,0.05548196957885658,0.996972900223815,0.13064239642865405,0.1330738753920099,0.10107594074070282,0.5916429042544389,,,,,,,,,1.0,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.2800000000000002,7.911721897188744e-05,8.05388848297626e-05,0.2665298200869729,0.00011289838930413193,nan,0.0,0.0,1.0,
cycle,2,3.34,0.0032732732368394957,0.0033315976898335904,0.2497186398982891,2.6704777663398227,0.10107594074070282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,2,,,,,,,3.76,0.06214117976807744,0.06325307072806043,0.7162751547007901,0.5,4.078138278535144,0.20025105275715938,0.27164132131561075,0.0,0.0,1.0,0.025744930365433932,0.026207081811857845,0.9993249658761586,0.2454977612178096,0.24990111609420348,0.061055644491331176,0.6277955926028103,,,,,,,,,1.0,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.03,0.10215106753903958,0.10398078475702377,0.2615138980691708,0.010106620508366014,0.05423705907031162,0.0,0.0,1.0,
cycle,3,4.08,0.11071467743997732,0.11269998929487529,0.23599401678434576,3.0250145275313787,0.061055644491331176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,3,,,,,,,4.5,0.21530741264574524,0.21921345090043465,0.7492988305769551,0.5,4.828738744840159,0.18377215500291452,0.3552855120119378,-0.0737673501864615,9.033894928743198e-18,0.9972754775118398,-0.0703906913078483,0.0465395336714296,0.9964332503398555,0.18404373084011463,0.5592922090386319,0.0,0.6428806454911711,,,,,,,,,1.0,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,4.78,0.286965099112881,0.2925511295336018,0.2653600180019247,0.018106723251994628,0.08919947261668873,0.0,0.0,1.0,
cycle,4,4.83,0.2937768865303758,0.3075784723651293,0.23234032588693584,3.1729483614390235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,4,,,,,,,5.19,0.28736616152149186,0.4502173884857991,0.636396195935805,0.5,5.482144860016332,0.13594920275014713,0.3761885355398267,-0.032692809345555775,-0.13376605775933972,0.9904735342292696,-0.05142553433489743,-0.13137469557676318,0.9899980322104095,0.1434201723997405,0.3870843709165829,0.08408178740097742,0.6063917346748545,,,,,,,,,1.0,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,5.44,0.2826502811317751,0.5498693621211417,0.2510223765057364,0.017489649851484556,0.21826533978182605,0.0,0.0,1.0,
cycle,5,5.49,0.27859270159553,0.5606320119394391,0.23996853864629974,2.815114384182192,0.08408178740097742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
