theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
7.00000000,-53.00000000,35.62745932,5.08963705,0.00000000
8.00000000,-53.00000000,35.35645388,4.41955674,0.00000000
9.00000000,-53.00000000,35.09315743,3.89923971,0.00000000
10.00000000,-53.00000000,34.83841981,3.48384198,0.00000000
11.00000000,-53.00000000,34.59317053,3.14483368,0.00000000
12.00000000,-53.00000000,34.35842512,2.86320209,0.00000000
13.00000000,-53.00000000,34.13529167,2.62579167,0.00000000
14.00000000,-53.00000000,33.92497749,2.42321268,0.00000000
15.00000000,-53.00000000,33.72879576,2.24858638,0.00000000
16.00000000,-53.00000000,33.54817192,2.09676075,0.00000000
17.00000000,-53.00000000,33.38464981,1.96380293,0.00000000
18.00000000,-53.00000000,33.23989694,1.84666094,0.00000000
19.00000000,-53.00000000,33.11570887,1.74293205,0.00000000
20.00000000,-53.00000000,33.01401204,1.65070060,0.00000000
21.00000000,-53.00000000,32.93686462,1.56842212,0.00000000
22.00000000,-53.00000000,32.88645462,1.49483885,0.00000000
23.00000000,-53.00000000,32.86509469,1.42891716,0.00000000
24.00000000,-53.00000000,32.87521250,1.36980052,0.00000000
25.00000000,-53.00000000,32.91933591,1.31677344,0.00000000
26.00000000,-53.00000000,33.00007183,1.26923353,0.00000000
27.00000000,-53.00000000,33.12007770,1.22666954,0.00000000
28.00000000,-53.00000000,33.28202461,1.18864374,0.00000000
29.00000000,-53.00000000,33.48855131,1.15477763,0.00000000
30.00000000,-53.00000000,33.74220859,1.12474029,0.00000000
31.00000000,-53.00000000,34.04539418,1.09823852,0.00000000
32.00000000,-53.00000000,34.40027897,1.07500872,0.00000000
33.00000000,-53.00000000,34.80872648,1.05480989,0.00000000
34.00000000,-53.00000000,35.27220860,1.03741790,0.00000000
35.00000000,-53.00000000,35.79172188,1.02262063,0.00000000
36.00000000,-53.00000000,36.36771015,1.01021417,0.00000000
37.00000000,-53.00000000,37.00000000,1.00000000,1.00000000
38.00000000,-53.00000000,37.36527767,0.98329678,1.00000000
39.00000000,-53.00000000,37.73698661,0.96761504,1.00000000
40.00000000,-53.00000000,38.11549865,0.95288747,1.00000000
0.00000000,-52.00000000,38.33609882,inf,0.00000000
1.00000000,-52.00000000,38.04330620,38.04330620,0.00000000
2.00000000,-52.00000000,37.75335689,18.87667844,0.00000000
3.00000000,-52.00000000,37.46665818,12.48888606,0.00000000
4.00000000,-52.00000000,37.18365742,9.29591436,0.00000000
5.00000000,-52.00000000,36.90484606,7.38096921,0.00000000
6.00000000,-52.00000000,36.63076404,6.10512734,0.00000000
7.00000000,-52.00000000,36.36200455,5.19457208,0.00000000
8.00000000,-52.00000000,36.09921909,4.51240239,0.00000000
9.00000000,-52.00000000,35.84312290,3.98256921,0.00000000
10.00000000,-52.00000000,35.59450078,3.55945008,0.00000000
11.00000000,-52.00000000,35.35421328,3.21401939,0.00000000
12.00000000,-52.00000000,35.12320316,2.92693360,0.00000000
13.00000000,-52.00000000,34.90250224,2.68480786,0.00000000
14.00000000,-52.00000000,34.69323846,2.47808846,0.00000000
15.00000000,-52.00000000,34.49664307,2.29977620,0.00000000
16.00000000,-52.00000000,34.31405789,2.14462862,0.00000000
17.00000000,-52.00000000,34.14694242,2.00864367,0.00000000
18.00000000,-52.00000000,33.99688063,1.88871559,0.00000000
19.00000000,-52.00000000,33.86558701,1.78239932,0.00000000
20.00000000,-52.00000000,33.75491173,1.68774559,0.00000000
21.00000000,-52.00000000,33.66684418,1.60318306,0.00000000
22.00000000,-52.00000000,33.60351449,1.52743248,0.00000000
23.00000000,-52.00000000,33.56719232,1.45944314,0.00000000
24.00000000,-52.00000000,33.56028195,1.39834508,0.00000000
25.00000000,-52.00000000,33.58531287,1.34341251,0.00000000
26.00000000,-52.00000000,33.64492467,1.29403556,0.00000000
27.00000000,-52.00000000,33.74184513,1.24969797,0.00000000
28.00000000,-52.00000000,33.87886020,1.20995929,0.00000000
29.00000000,-52.00000000,34.05877489,1.17444051,0.00000000
30.00000000,-52.00000000,34.28436386,1.14281213,0.00000000
31.00000000,-52.00000000,34.55831135,1.11478424,0.00000000
32.00000000,-52.00000000,34.88314027,1.09009813,0.00000000
33.00000000,-52.00000000,35.26113131,1.06851913,0.00000000
34.00000000,-52.00000000,35.69423420,1.04983042,0.00000000
35.00000000,-52.00000000,36.18397422,1.03382783,0.00000000
36.00000000,-52.00000000,36.73135900,1.02031553,0.00000000
37.00000000,-52.00000000,37.33679197,1.00910249,0.00000000
38.00000000,-52.00000000,38.00000000,1.00000000,0.00000000
39.00000000,-52.00000000,38.38230942,0.98416178,1.00000000
40.00000000,-52.00000000,38.77140934,0.96928523,1.00000000
0.00000000,-51.00000000,38.95138239,inf,0.00000000
1.00000000,-51.00000000,38.67331368,38.67331368,0.00000000
2.00000000,-51.00000000,38.39745956,19.19872978,0.00000000
