metric,value,threshold,ok
takeoffs,12,12,True
landing_rmse_m,0.000,0.30,True
segment_landings,6,,
segment_rmse_m,0.000,,
paper_lateral_rmse_m,0.000,,
jump_period_s,0.783,,
reference_delay_s,1.174,,
landing_max_err_m,0.000,,
height_rmse_m,0.059,0.12,True
overall,PASS,,
