type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.49,0.0,0.0,0.26512560000010454,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.55,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,2.97,7.33276558429825e-20,-1.0658875546032358e-20,0.8571950605948276,1.0,3.330488039778853,4.888510389532167e-20,-7.105917030688239e-21,0.0,0.0,1.0,-1.2168404036195127e-19,-1.8751633729909342e-19,1.0,-6.757057396396841e-20,-7.7997007250862e-19,0.17176499578755272,0.7975642675353773,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.29,5.25857146813504e-19,-7.089807898261348e-20,0.2591225013674798,2.9996815162240874e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.34,3.2568013935886985e-18,-5.151335472749178e-19,0.23893311628309077,3.392743072832541,0.17176499578755272,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,3.92,9.419795671446072e-17,-5.687030064294429e-17,1.1691264626260407,1.0,4.3599635535146435,3.139931890482024e-17,-1.8956766880981434e-17,0.0,0.0,1.0,-3.578434311700689e-17,-6.182273365007235e-17,1.0,3.422961093046194e-17,-5.317861226581608e-16,0.06634311624030821,0.88715402148862,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.32,1.328925145156085e-16,-1.2851244377850028e-16,0.24144075456686773,2.926617381358469e-17,1.8482708604035027e-16,0.0,0.0,1.0,True,
cycle,3,4.37,1.1879296369486454e-17,-1.2997093659214734e-16,0.2570607154238741,4.2713184334381085,0.06634311624030821,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,4.9,-2.847734143237094e-15,-6.347488501881721e-17,1.226674456514575,1.0,5.353105344152694,0.0,0.0,0.0,0.0,1.0,1.2840714222587956e-15,-2.5569253150187607e-15,1.0,-5.708814452086979e-16,-1.4549519845521234e-14,0.05696790975988249,0.8962873537320665,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.33,-5.363007797459373e-15,-1.4007851602645896e-17,0.23944575492360154,7.1374596833059e-17,5.39440938647069e-15,0.0,0.0,1.0,True,
cycle,4,5.38,-5.838818644219646e-15,-3.455474030029686e-17,0.26244663893274917,4.360885826083302,0.05696790975988249,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,4,,,,,,,5.93,-1.4505569567213763e-14,-5.7947371536312e-16,1.23616585869401,1.0,6.385236378420029,0.0,0.0,0.0,0.0,1.0,3.784276216738193e-15,-7.24633127035345e-15,1.0,-7.734565935412929e-15,-4.326286385583492e-14,0.05601375938730964,0.8972277915740716,,,,,,,,,1.0,True,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.34,-2.17518192043382e-14,-1.0227575148868854e-15,0.26426186853249806,4.464524931656217e-16,2.177585065232754e-14,0.0,0.0,1.0,True,
cycle,5,6.39,-2.371915644668889e-14,-1.0894921038905948e-15,0.23921669907961404,4.3701083708466015,0.05601375938730964,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,5,,,,,,,6.94,-6.937997070290722e-14,-2.297206432176353e-15,1.2481219901867557,1.0,7.397906685321927,0.0,0.0,0.0,0.0,1.0,1.975902611016141e-14,-3.867695082829274e-14,1.0,-3.36252438290494e-14,-2.294344927005448e-13,0.0,0.9052078726935675,,,,,,,,,1.0,True,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,7.36,-1.0828082709261987e-13,-3.3291812654426377e-15,0.25850167737832946,1.729311634328707e-15,1.0833199418343602e-13,0.0,0.0,1.0,True,
cycle,6,7.41,-1.1847194142931726e-13,-3.530937766387947e-15,0.24119147900777893,4.448366233357107,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,6,,,,,,,7.9,7.616801010966267e-06,7.615082422623849e-06,1.029002058465277,1.0,8.306190230151905,0.0,0.0,-4.590154685295646e-06,-4.589119002942212e-06,0.9999999999789352,-4.785242291419868e-06,-4.785459477822308e-06,0.9999999999771003,2.9055038458451354e-07,2.790381277295979e-07,0.10398057258076261,0.8524356895158862,,,,,,,,,1.0,True,
landing,6,,,,,,,,,,,,,,,,,,,,,,,,,8.26,1.298124415206089e-05,1.2975905786859968e-05,0.25770260627130276,2.3625508765624254e-06,1.8354477130250295e-05,0.0,0.0,1.0,True,
cycle,7,8.31,1.1843873588769786e-05,1.1837237379529863e-05,0.24564098112351698,3.930847903197699,0.10398057258076261,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,7,,,,,,,8.86,-3.171510413172107e-05,-3.175864477741206e-05,1.1950655973130337,1.0,9.30593501732492,0.0,0.0,1.954076753303257e-05,1.9567586841146137e-05,0.999999999617634,1.974108059341769e-05,1.9778163213974165e-05,0.999999999609557,-4.796214460820331e-07,-3.8398372600394854e-07,0.061720161814079064,0.8916334077513403,,,,,,,,,1.0,True,
landing,7,,,,,,,,,,,,,,,,,,,,,,,,,9.27,-6.544866500839095e-05,-6.551580948169151e-05,0.25056188412815605,5.603057496291031e-06,9.260588017735092e-05,0.0,0.0,1.0,True,
cycle,8,9.32,-6.53162609395882e-05,-6.536664076052474e-05,0.2503065703271822,4.3152462067314135,0.061720161814079064,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,8,,,,,,,9.870000000000001,-1.887561761169856e-05,-1.8470381911025907e-05,1.2592125035431077,1.0,10.330369816254779,0.0,0.0,0.0,0.0,1.0,1.8446920373583318e-05,1.862931035813138e-05,0.9999999996563299,0.0001646043100434288,0.00016682366433366398,0.0,0.9052080170406488,,,,,,,,,1.0,True,
landing,8,,,,,,,,,,,,,,,,,,,,,,,,,10.3,1.5273145434626908e-05,1.6023579186371378e-05,0.23884604611938512,6.373625818943215e-06,2.2136487106340492e-05,0.0,0.0,1.0,True,
