type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,19,,,,,,,,,,,,,,,,,,,,,,,,,18.56,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,20,18.61,0.0,0.0,0.0,3.2920119251957436,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,20,,,,,,,,,,,,,,,,,,,,,,,,,19.33,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,21,19.38,0.0,0.0,0.0,3.3635265476370186,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,21,,,,,,,,,,,,,,,,,,,,,,,,,20.02,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,22,20.07,0.0,0.0,0.0,3.2959069833459136,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,22,,,,,,,,,,,,,,,,,,,,,,,,,20.6,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,23,20.66,0.0,0.0,0.0,3.086763563342141,0.05460081353881448,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,23,,,,,,,,,,,,,,,,,,,,,,,,,21.11,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,24,21.17,0.0,0.0,0.0,2.7423657091259352,0.0925025946772051,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,24,,,,,,,,,,,,,,,,,,,,,,,,,21.65,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,25,21.7,0.0,0.0,0.0,2.489663710874468,0.12389281362584938,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,25,,,,,,,,,,,,,,,,,,,,,,,,,22.27,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,26,22.33,0.0,0.0,0.0,2.3989871535005376,0.13610698639880373,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,26,,,,,,,,,,,,,,,,,,,,,,,,,22.96,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,27,23.02,0.0,0.0,0.0,2.4058063957252056,0.1351685330426549,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,27,,,,,,,,,,,,,,,,,,,,,,,,,23.69,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,28,23.75,0.0,0.0,0.0,2.4708002278232337,0.12638783570269424,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,28,,,,,,,,,,,,,,,,,,,,,,,,,24.43,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,29,24.49,0.0,0.0,0.0,2.543922269127189,0.11684294679310915,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,29,,,,,,,,,,,,,,,,,,,,,,,,,25.15,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,30,25.2,0.0,0.0,0.0,2.5797282557637358,0.11228932764120662,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,30,,,,,,,,,,,,,,,,,,,,,,,,,25.9,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,31,25.95,0.0,0.0,0.0,2.6703307087977177,0.10109374964814379,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,31,,,,,,,,,,,,,,,,,,,,,,,,,26.69,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,32,26.74,0.0,0.0,0.0,2.80906099316036,0.08477317120462764,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,32,,,,,,,,,,,,,,,,,,,,,,,,,27.43,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
