source,window,h_mean_m,h_sd_m,T_mean_s,T_sd_s,f_mean_hz,f_sd_hz,nu_2hf_m_s,nu_2h_T_m_s,n_hops
paper,1,1.6271666666666667,0.029862648539233375,1.3573119938373566,0.012407978805236194,0.73681172802371,0.006721399697601444,2.3978309668984936,2.397631014909673,9
paper,2,1.4978125000000002,0.02792729119964916,1.2905589853014265,0.011907715653462164,0.7749241507719876,0.007165715822188783,2.321382159156336,2.3211841024843465,8
paper,3,1.3330555555555554,0.022672112635527066,1.2179120182991028,0.01759148076785287,0.8212476548744256,0.011790324925711639,2.189537497634649,2.189083506076668,9
paper,4,1.150125,0.015864169533889885,1.1300904410226005,0.011028884442084661,0.8849690259723751,0.008617706330556626,2.035650001992956,2.0354565586083013,8
paper,5,0.961375,0.014168075910299182,1.038766826902117,0.009790418112299061,0.9627659440141052,0.009123979542200763,1.8511582188531208,1.8509928794454855,8
paper,6,0.764,0.011945187315400292,0.9319643974304199,0.00968615810476762,1.073118008387013,0.011127512098520758,1.6397243168153561,1.6395476095577781,8
paper,7,0.5883,0.021894291493446412,0.8324472308158875,0.017567265925472544,1.2018051475468536,0.025012693409042167,1.4140439366036281,1.413422925134613,5
