source,window,h_mean_m,h_sd_m,T_mean_s,T_sd_s,f_mean_hz,f_sd_hz,nu_2hf_m_s,nu_2h_T_m_s,n_hops
sim,0.6,0.5554441476709079,0.06064299110817819,0.7799999999999999,0.049665548085837424,1.2875102668606238,0.08573840296357306,1.4302800855878846,1.4242157632587382,7
sim,0.8,0.751524208050392,0.06571763921431419,0.91,0.0458257569495582,1.1019416930114667,0.06040584102610033,1.6562717163163014,1.6517015561547077,7
sim,1.0,0.9469389610235706,0.0702236178507507,0.9966666666666667,0.043843154793219596,1.0054456806807655,0.04777488710857425,1.9041913764589615,1.9002119619202085,7
sim,1.2,1.1222074218827818,0.08233059733287111,1.0966666666666665,0.0442216638714053,0.9134436413197476,0.0394280727121126,2.050146467521309,2.0465788848926114,7
sim,1.4,1.3053539798688942,0.10033204169013746,1.175,0.04924428900898039,0.852658206680447,0.038061704491932385,2.2260415671163916,2.2218791146704584,7
sim,1.63,1.5258114576047537,0.11103424537741247,1.2783333333333333,0.00897527467855759,0.7823074320167344,0.00553396008852607,2.3873072862809703,2.3871887211547644,7
