t_LD,t_TO,stance_duration,landing_speed,theta_landing,theta_takeoff,veloc_takeoff,delta_psi,theta_TO,surface_angle_error,model_theta_t,model_theta_v,model_v_t,model_delta_psi,model_theta_TO,err_delta_psi,err_theta_TO
41.9593232,42.01319,0.0538668633,1.81098797,2.47963306,3.90399289,8.71097081,1.42435982,4.80697793,0.45397938,3.03409083,5.77363185,1.63928735,0.554457765,2.73954103,0.869902059,2.0674369
42.5727191,42.6261768,0.053457737,2.08973219,4.66424534,6.47964395,10.4988127,1.81539861,4.01916873,0.590201267,5.98380948,11.1066117,1.90310799,1.31956414,5.12280219,0.49583447,-1.10363346
43.2125401,43.2576411,0.0451009274,2.18961597,0.858791134,1.18220817,4.67656714,0.323417039,3.49435897,0.404182615,1.1219061,2.06358379,1.9969009,0.263114961,0.941677691,0.060302078,2.55268128
43.7915261,43.844368,0.0528419018,1.7913867,6.27034148,9.36340542,19.6436474,3.09306394,10.280242,0.288232141,7.64002826,14.5666098,1.62238048,1.36968678,6.92658151,1.72337716,3.35366048
44.421335,44.4648631,0.04352808,1.48648749,9.04612629,11.0557744,21.7551899,2.00964812,10.6994154,0.528017432,10.4742549,20.523849,1.33936414,1.42812859,10.0495942,0.581519526,0.649821296
44.9540081,45.010632,0.0566239357,1.47566316,8.26843095,9.84380604,17.5423081,1.57537508,7.69850206,0.658767589,9.56020989,18.7503204,1.32875512,1.29177893,9.19011048,0.283596151,-1.49160842
45.5322192,45.5762942,0.0440750122,1.99775411,7.44071004,9.76970222,17.8423352,2.32899219,8.07263299,0.702967055,9.38526204,17.5682068,1.81761879,1.94455201,8.18294473,0.38444018,-0.11031174
46.1603429,46.214607,0.0542640686,1.58197555,3.40102275,4.90582556,11.0730159,1.50480281,6.16719032,0.236444916,4.00543425,7.780974,1.42524503,0.604411494,3.77553976,0.900391316,2.39165057
46.7242851,46.77756,0.0532748699,1.62239811,7.47417611,10.9143577,22.4445419,3.44018162,11.5301841,0.170566799,8.85120085,17.1345725,1.46485659,1.37702473,8.28337169,2.06315689,3.24681243
47.3377771,47.3806739,0.0428967476,1.99530251,7.32651472,9.82886853,20.8085886,2.50235381,10.97972,0.170671828,9.23782257,17.2957803,1.8152214,1.91130785,8.05795774,0.591045965,2.9217623
47.9697521,48.013093,0.0433409214,1.72604189,4.76777844,6.45122748,13.157336,1.68344904,6.70610857,0.422615891,5.7486006,11.0240684,1.56033879,0.980822163,5.27546776,0.702626878,1.43064081
