theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1,3.1,0.537121653,1.07976104,2.87102977
1,3.15,0.551106692,1.07897665,2.91945729
1,3.2,0.565232811,1.07820514,2.96791981
1,3.25,0.579501088,1.0774463,3.01641627
1,3.3,0.59391267,1.07669991,3.06494564
1,3.35,0.608468763,1.07596574,3.11350695
1,3.4,0.623170633,1.07524359,3.16209925
1,3.45,0.638019606,1.07453324,3.21072161
1,3.5,0.653017064,1.07383446,3.25937315
1.5,1,0.118484526,1.68655205,0.889415344
1.5,1.05,0.12951361,1.68479958,0.934857226
1.5,1.1,0.14090749,1.68302277,0.980407893
1.5,1.15,0.152652027,1.68122638,1.02606675
1.5,1.2,0.164733865,1.67941488,1.07183291
1.5,1.25,0.177140436,1.67759242,1.11770517
1.5,1.3,0.189859955,1.67576283,1.16368213
1.5,1.35,0.202881419,1.67392965,1.20976216
1.5,1.4,0.216194579,1.67209611,1.25594348
1.5,1.45,0.229789926,1.67026517,1.30222413
1.5,1.5,0.243658663,1.6684395,1.34860207
1.5,1.55,0.257792677,1.66662153,1.39507516
1.5,1.6,0.272184504,1.66481343,1.44164116
1.5,1.65,0.286827304,1.66301715,1.48829782
1.5,1.7,0.301714824,1.66123443,1.53504282
1.5,1.75,0.316841368,1.65946681,1.58187385
1.5,1.8,0.332201764,1.65771562,1.62878858
1.5,1.85,0.347791336,1.65598206,1.67578467
1.5,1.9,0.363605871,1.65426715,1.72285983
1.5,1.95,0.379641589,1.65257176,1.77001175
1.5,2,0.395895124,1.65089664,1.81723819
1.5,2.05,0.412363486,1.64924242,1.86453692
1.5,2.1,0.429044047,1.64760961,1.91190577
1.5,2.15,0.445934514,1.64599863,1.95934259
1.5,2.2,0.463032904,1.6444098,2.0068453
1.5,2.25,0.480337531,1.64284339,2.05441185
1.5,2.3,0.497846982,1.64129954,2.10204028
1.5,2.35,0.515560101,1.63977839,2.14972863
1.5,2.4,0.533475973,1.63827996,2.19747504
1.5,2.45,0.551593908,1.63680427,2.24527767
1.5,2.5,0.569913429,1.63535125,2.29313477
1.5,2.55,0.588434258,1.63392082,2.3410446
1.5,2.6,0.607156305,1.63251284,2.38900552
1.5,2.65,0.626079655,1.63112716,2.43701592
1.5,2.7,0.64520456,1.62976359,2.48507424
1.5,2.75,0.664531429,1.62842191,2.53317897
1.5,2.8,0.684060822,1.6271019,2.58132866
