type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.0,0.0,0.2261706000000035,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.5700000000000003,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,2.99,7.495676760825743e-20,-1.0874310284574548e-20,0.8586660580909916,1.2,3.35090390247657,4.997117840550496e-20,-7.249540189716366e-21,0.0,0.0,1.0,-1.2336272163115678e-19,-1.902856891206775e-19,1.0,-6.818078763539095e-20,-7.929478953442162e-19,0.2300552650105075,0.8411006539980526,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.32,5.5919435692899965e-19,-7.559101976541315e-20,0.22864630643749226,3.294691204067867e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.37,4.3875006679395925e-18,-7.010023372438734e-19,0.2645281128513822,3.3969922981138336,0.2300552650105075,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,3.99,7.386058409502027e-17,1.2754264478275498e-17,1.3148776342662645,1.2,4.462538776163021,2.462019469834009e-17,4.2514214927585e-18,0.0,0.0,1.0,-2.1820618304996062e-17,-4.738139587536431e-17,1.0,3.189573524276995e-17,-2.671397247639804e-16,0.08297128349141898,0.9575339264721316,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.44,1.3296394157329758e-16,1.3747317118071275e-18,0.21983424655781186,2.051240586907336e-17,1.3292115481861838e-16,0.0,0.0,1.0,True,
cycle,3,4.49,2.971239479794549e-16,-1.6563323733483065e-17,0.2752076483411757,4.538812649621761,0.08297128349141898,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,5.07,3.982826618573993e-15,-4.152238547548423e-16,1.4151774986872532,1.2,5.563708795303021,0.0,0.0,0.0,0.0,1.0,-1.3986437920745633e-15,-2.8260314608468568e-15,1.0,1.0528003012143867e-15,-1.981051974120565e-14,0.06269542978156879,0.9768751264730129,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.54,7.245239647033728e-15,-8.037925597778183e-16,0.2302051439120937,8.386475069443905e-17,7.26569200772451e-15,0.0,0.0,1.0,True,
cycle,4,5.59,7.860491724830884e-15,-1.0424619221284937e-15,0.2708325735486913,4.728485028610402,0.06269542978156879,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,4,,,,,,,6.19,2.037016233669154e-14,-6.7442838540364215e-15,1.4834540842375563,1.2,6.697614935566364,0.0,0.0,0.0,0.0,1.0,-4.506092483736101e-15,-8.702477511901245e-15,1.0,1.0400748194809907e-14,-7.68730154956077e-14,0.0,0.9920025075474448,,,,,,,,,1.0,True,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.67,3.167206776892232e-14,-1.1901840344860341e-14,0.2140229199759859,9.733400651473869e-17,3.3834504287099486e-14,0.0,0.0,1.0,True,
cycle,5,6.72,3.5379049758401405e-14,-1.3510072211934978e-14,0.2903729973060068,4.876833960223981,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
