cycle,theta_z_deg,phi_deg,tilt_deg,lateral_speed
0,2.088353258072791e-14,3.975693351829396e-16,3.975693351829396e-16,1.3126977803368444e-15
1,9.024241099086506,9.10920507948298,9.10920507948298,0.4734555702042181
2,0.624988393350558,-3.256459624662199,3.256459624662199,0.053604696168426905
3,1.246810448314363,-3.718520400058549,3.718520400058549,0.12222473963005369
4,0.7687319957463653,-3.5276027463908384,3.5276027463908384,0.06846012054620979
5,0.3544064645419636,-2.919550637711973,2.919550637711973,0.028402652069820324
6,1.3616407690099752,-3.7416201670954687,3.7416201670954687,0.09740223305312641
7,0.8182069715259572,-3.2437854389578473,3.2437854389578473,0.05112852934970239
8,1.034184673055421,-2.84653396691607,2.84653396691607,0.05636938295853742
9,2.5940391722264016,3.9805054483218236,3.9805054483218236,0.12062760959475056
10,2.2804668114493913,4.234201737019387,4.234201737019387,0.09287820695608505
11,0.5074954400580376,-1.9723793504338392,1.9723793504338392,0.017405042354936454
12,4.096722086233976,1.5292545029845355,1.5292545029845355,0.11246807941988253
13,9.090875346165761,4.453040061786585,4.453040061786585,0.2718355944630189
14,6.207263318142666,6.540481896772202,6.540481896772202,0.2195874805931555
15,0.16584676220853933,-2.431125914781133,2.431125914781133,0.0073437131817052645
16,2.829519112846068,4.113939030090752,4.113939030090752,0.14581880171969164
17,2.020607313166759,3.8152803645664455,3.8152803645664455,0.11335986999079835
18,1.2798121093671317,-3.4394302844086004,3.4394302844086004,0.07598388578132828
19,1.4151770123194345,-3.532731443688276,3.532731443688276,0.08369657081802831
20,1.3365989214181853,-3.181759958491055,3.181759958491055,0.07040111878589156
21,1.4095117662806376,-7.13590039721247,7.13590039721247,0.05617098319443584
22,7.088829509341878,-12.054642011458249,12.054642011458249,0.20474570077129448
23,26.80292755535262,10.478475471788085,10.478475471788085,0.8135362028837659
24,11.176549979086161,5.9689976921239065,5.9689976921239065,0.3509645080571148
25,6.855548177546562,7.521614505421736,7.521614505421736,0.241811279120904
26,9.224543076520158,7.033415980125368,7.033415980125368,0.3634014405572731
27,10.527108889400065,8.854660232107205,8.854660232107205,0.42285662315550954
28,13.734153396859636,8.69777042570266,8.69777042570266,0.5439917041866882
29,4.9384366460665445,5.402628871418904,5.402628871418904,0.21381109878961937
30,6.327531774079546,5.759560173211887,5.759560173211887,0.28878340834176386
31,10.279246121442007,10.469778306361853,10.469778306361853,0.4560952112946696
32,5.537783584598414,3.484392261014555,3.484392261014555,0.2524697958198397
