type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.49,0.0,0.0,0.26512560000010454,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.54,0.0,0.0,0.23689911848230807,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,2.97,7.659962686799712e-20,-1.1091052439791386e-20,0.8601527462271087,1.63,3.331323714724104,5.1066417911998086e-20,-7.394034959860925e-21,0.0,0.0,1.0,-1.2502966961122224e-19,-1.9304309073827489e-19,1.0,-6.877491790484382e-20,-8.059356799306586e-19,0.3379468488461529,0.933087850290025,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.29,5.34991149334946e-19,-7.194508043368039e-20,0.2645906893993013,3.0082174629939764e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.34,3.0739731990057958e-18,-4.875187798320366e-19,0.23174278726598285,3.4962923757956936,0.3379468488461529,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,4.07,2.963080517089774e-16,-8.877158632229323e-17,1.591612679821692,1.63,4.598896150021965,9.876935056965913e-17,-2.959052877409775e-17,0.0,0.0,1.0,-1.15226533659609e-16,-2.3741764137510654e-16,1.0,1.9817791247916616e-17,-2.027293688894722e-15,0.10230569491958909,1.103192512396316,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.58,6.044195789553545e-16,-1.585057199246633e-16,0.2368601247691509,2.4800226556428748e-17,6.24806384615714e-16,0.0,0.0,1.0,True,
cycle,3,4.63,6.212880088502016e-16,-1.3436807811330001e-16,0.2684311324432272,5.164449260440351,0.10230569491958909,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,5.3,8.303579626608777e-16,6.770837246126244e-16,1.7929264665400628,1.63,5.866381253177219,0.0,0.0,0.0,0.0,1.0,-6.882584590834891e-17,-8.389939406841737e-16,1.0,6.410540886444473e-16,-5.002474146226025e-15,0.06929448900443853,1.1341587576282064,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.83,1.095853317483668e-15,1.4324972602936077e-15,0.2859583326999674,4.9328355139562614e-17,1.7697110329140935e-15,0.0,0.0,1.0,True,
cycle,4,5.89,1.395534954227911e-15,1.7779584200403748e-15,0.2759919731252324,5.468124389243671,0.06929448900443853,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,4,,,,,,,6.5600000000000005,9.605575507554619e-15,1.0534034665441456e-14,1.8747114547873296,1.63,7.140919288412244,0.0,0.0,0.0,0.0,1.0,-2.3112640499483533e-15,-1.0849313615008634e-14,1.0,2.916941359805912e-15,-6.986317373014507e-14,0.05558614843721239,1.1475714084905784,,,,,,,,,1.0,True,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,7.11,1.720738840046911e-14,1.8556523715507547e-14,0.28109486006854323,1.1434146471324175e-16,2.5306892104104622e-14,0.0,0.0,1.0,True,
