type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
plan,4,,,,,,,6.42,1.9751892603689658e-14,-9.648512078841785e-15,1.6233894039034718,1.4,6.954987650003586,0.0,0.0,0.0,0.0,1.0,-4.94014883001336e-15,-1.0155172773832244e-14,1.0,7.625260659639837e-15,-1.0009983503254886e-13,0.06179298373091209,1.0570195772611828,,,,,,,,,1.0,True,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.92,3.316851428854026e-14,-1.6684599073318414e-14,0.2359790389891936,5.263911219313982e-16,3.71285090778835e-14,0.0,0.0,1.0,True,
cycle,5,6.97,3.688714451964703e-14,-1.845413475440541e-14,0.2673829648078359,5.1257237100079776,0.06179298373091209,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,5,,,,,,,7.61,1.277010682891257e-13,-6.100561542736748e-14,1.6796981477076613,1.4,8.155614858168535,0.0,0.0,0.0,0.0,1.0,-2.845216312589316e-14,-5.988648251184975e-14,1.0,5.507154682284614e-14,-6.016652012058132e-13,0.0,1.0710274767751897,,,,,,,,,1.0,True,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,8.13,2.1056043064671352e-13,-9.987155109289557e-14,0.21788137937790283,2.172800972294163e-16,2.3304510651766604e-13,0.0,0.0,1.0,True,
cycle,6,8.18,2.343469131287044e-13,-1.1102885580993094e-13,0.2875118550670946,5.2630942777770136,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,6,,,,,,,8.73,6.260432239492067e-13,-2.9475671720283225e-13,1.3912968071239828,1.4,9.218751541058156,0.0,0.0,0.0,0.0,1.0,-1.5635480298276783e-13,-2.890358067484639e-13,1.0,3.0490374078709537e-13,-2.501264066969028e-12,0.11366335870743736,1.008798259642393,,,,,,,,,1.0,True,
landing,6,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.968940940806765e-13,-4.687153034840987e-13,0.21975237204262732,5.055420549570791e-15,1.101586070415346e-12,0.0,0.0,1.0,True,
cycle,7,9.25,1.1127421302730286e-12,-5.230339627611337e-13,0.2759969113051502,4.6528341255816725,0.11366335870743736,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,7,,,,,,,9.870000000000001,3.842378177483026e-12,-1.8028331430815626e-12,1.5978417674918688,1.4,10.400095762901314,0.0,0.0,0.0,0.0,1.0,1.171568811405352e-12,-5.492951134016092e-13,1.0,1.728715359164301e-11,-8.1064743495433e-12,0.06534942065688244,1.0535534371279043,,,,,,,,,1.0,True,
landing,7,,,,,,,,,,,,,,,,,,,,,,,,,10.38,6.409954102711634e-12,-3.006660713679869e-12,0.24834570478559304,1.5193907976433667e-14,7.080079112979999e-12,0.0,0.0,1.0,True,
cycle,8,10.43,7.03620869468056e-12,-3.3001988208463676e-12,0.26123727801005814,5.091732486869962,0.06534942065688244,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,8,,,,,,,11.05,2.1179039903085545e-11,0.001084694571089051,1.6484617850982795,1.4,11.589745432417274,0.0,0.0,-7.644189901549543e-12,-0.0003915008109359673,0.9999999233635546,-1.1899256106991275e-11,-0.00040770547771038727,0.9999999168881183,-4.6000718844064187e-11,3.2194185151453343e-06,0.05244922652083829,1.066238827087357,,,,,,,,,1.0,True,
landing,8,,,,,,,,,,,,,,,,,,,,,,,,,11.57,3.253493290490145e-11,0.0020581088766926828,0.24843929794959058,0.00010959837891744281,0.002058108876692683,0.0,0.0,1.0,True,
