type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.5300000000000002,0.0,0.0,0.2261706000000035,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.58,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,3.01,8.055607879280967e-20,-1.1635495358761537e-20,0.8536854864655418,1.4,3.3694939121814773,5.370405252853978e-20,-7.756996905841025e-21,0.0,0.0,1.0,-1.3124181511061275e-19,-2.0194430025911701e-19,1.0,-7.065915885439803e-20,-8.359828354760824e-19,0.29142106669767776,0.8792687453067893,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.33,5.5919435692899965e-19,-7.559101976541315e-20,0.22864630643749226,3.1499129120230657e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.38,4.3875006679395925e-18,-7.010023372438734e-19,0.2645281128513822,3.382583513822426,0.29142106669767776,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,4.07,1.530919170982112e-16,2.0747573169161032e-17,1.4818756011958274,1.4,4.577297744781239,5.1030639032737063e-17,6.915857723053678e-18,0.0,0.0,1.0,-5.0170860031387207e-17,-1.2748493190111694e-16,1.0,4.222898674980455e-17,-7.956649872963718e-16,0.08738032137977257,1.0326080103492088,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.55,2.849011516768913e-16,5.3256772748124405e-17,0.23850688536903492,6.242747260626605e-18,2.8978471068549024e-16,0.0,0.0,1.0,True,
cycle,3,4.6,3.558265135979581e-16,3.0275247969406413e-17,0.2613126318966212,4.886328017350667,0.08738032137977257,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,5.23,2.212105793316108e-15,-6.60365835799238e-16,1.6167210807240566,1.4,5.763715117084457,0.0,0.0,0.0,0.0,1.0,-6.076899713413491e-16,-1.2522820360475394e-15,1.0,7.274435607576603e-16,-1.1272224460458006e-14,0.05864852709266068,1.0601038987193578,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.74,3.9513943191224906e-15,-1.3171410633197595e-15,0.2148493557397412,5.2119399286253943e-17,4.118976033812853e-15,0.0,0.0,1.0,True,
cycle,4,5.79,4.634604250521831e-15,-1.6706406097060611e-15,0.2838369802247464,5.155970571035791,0.05864852709266068,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
