theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
0.5,3.35,0.304267197,0.537986546,3.11346699
0.5,3.4,0.311618977,0.537625408,3.1620592
0.5,3.45,0.319044324,0.537270169,3.21068149
0.5,3.5,0.326543931,0.536920721,3.25933296
0.5,3.55,0.334118517,0.536576957,3.30801276
0.5,3.6,0.341768829,0.536238769,3.35672006
0.5,3.65,0.349495641,0.535906051,3.40545408
0.5,3.7,0.357299754,0.535578699,3.45421404
0.5,3.75,0.365181994,0.53525661,3.5029992
0.5,3.8,0.373143213,0.53493968,3.55180885
0.5,3.85,0.38118429,0.53462781,3.60064229
0.5,3.9,0.389306128,0.534320899,3.64949887
0.5,3.95,0.397509656,0.53401885,3.69837793
0.5,4,0.405795829,0.533721566,3.74727886
0.5,4.05,0.414165625,0.533428953,3.79620105
0.5,4.1,0.422620048,0.533140918,3.84514393
0.5,4.15,0.431160129,0.53285737,3.89410693
0.5,4.2,0.439786922,0.532578219,3.94308951
0.5,4.25,0.448501507,0.532303377,3.99209115
0.5,4.3,0.45730499,0.532032757,4.04111134
0.5,4.35,0.466198501,0.531766276,4.09014959
0.5,4.4,0.475183199,0.531503851,4.13920544
0.5,4.45,0.484260265,0.5312454,4.18827841
0.5,4.5,0.49343091,0.530990843,4.23736808
1,0.1,0.000872885407,1.13823226,0.0878568497
1,0.15,0.00196104926,1.138021,0.131809736
1,0.2,0.00347904324,1.13772721,0.175791691
1,0.25,0.00542156008,1.1373528,0.219811942
1,0.3,0.00778195307,1.13690018,0.263879329
1,0.35,0.0105523588,1.13637219,0.308002237
1,0.4,0.0137238366,1.13577208,0.352188522
1,0.45,0.0172865201,1.13510339,0.396445465
1,0.5,0.0212297756,1.13436997,0.440779724
1,0.55,0.0255423616,1.13357586,0.485197311
1,0.6,0.030212587,1.13272527,0.529703574
1,0.65,0.0352284615,1.1318225,0.574303194
1,0.7,0.0405778372,1.13087189,0.619000189
1,0.75,0.0462485384,1.12987778,0.663797932
1,0.8,0.0522284768,1.12884447,0.708699172
1,0.85,0.0585057538,1.12777616,0.753706067
1,0.9,0.0650687464,1.12667693,0.798820214
1,0.95,0.0719061794,1.12555074,0.844042691
1,1,0.0790071839,1.12440133,0.889374094
1,1.05,0.0863613417,1.12323231,0.934814584
