metric,value,threshold,ok
takeoffs,10,10,True
landing_rmse_m,0.491,0.80,True
segment_landings,6,,
segment_rmse_m,0.296,,
landing_max_err_m,1.052,,
height_rmse_m,0.057,0.12,True
overall,PASS,,
