type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.51,0.0,0.0,0.2261706000000035,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.56,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,2.99,8.098301084369208e-20,-1.1691579627266e-20,0.8540654941520532,0.6,3.3496016864467437,5.398867389579472e-20,-7.794386418177333e-21,0.0,0.0,1.0,-1.3166692702441047e-19,-2.0264822334643386e-19,1.0,-7.080348343718281e-20,-8.393003340076301e-19,0.05480154394827068,0.6948482904633078,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.31,5.603678762713807e-19,-7.57244484364978e-20,0.2293401269239702,3.150982707282892e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.36,4.3721939200895416e-18,-6.982201198867354e-19,0.2652096695434225,3.3836850374615435,0.05480154394827068,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,3.81,7.463612535711973e-17,-1.0951016674449009e-17,0.8655622294687834,0.6,4.172847150154303,2.4878708452373247e-17,-3.6503388914830035e-18,0.0,0.0,1.0,-4.911349202871035e-17,-7.651468975027158e-17,1.0,1.709780739889368e-17,-3.265044146415957e-16,0.0,0.6997196410697997,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.13,1.3552560988424125e-16,-1.684252364204937e-17,0.23790991007566348,3.2855198078878065e-18,1.3651361932961021e-16,0.0,0.0,1.0,True,
cycle,3,4.18,1.7146171770064499e-16,-2.5512877275248814e-17,0.25482905278824225,3.431456667886698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,4.5600000000000005,6.246083305237657e-16,-1.4140754899646447e-16,0.7139775721150813,0.6,4.877400989013338,0.0,0.0,0.0,0.0,1.0,-3.9975782708341647e-16,-5.344209087235203e-16,1.0,2.5386798894639855e-16,-2.019110710786283e-15,0.09693636873798649,0.6558153657690822,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,4.84,9.896972452774844e-16,-2.3181051292803693e-16,0.23673494113606153,3.122174079324353e-17,9.914292077691372e-16,0.0,0.0,1.0,True,
cycle,4,4.89,1.135884186069326e-15,-2.605522275923865e-16,0.2552639307308187,3.0009028065089165,0.09693636873798649,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,4,,,,,,,5.34,3.5798043724596276e-15,-7.073064721181775e-16,0.8285376894572309,0.6,5.692288446630787,0.0,0.0,0.0,0.0,1.0,-1.7240058237151333e-15,-2.5583222560359508e-15,1.0,1.663862529349998e-15,-1.1017871697833475e-14,0.057970425702132136,0.691737248514758,,,,,,,,,1.0,True,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,5.65,5.5077765324810626e-15,-1.0693080583999023e-15,0.24869490445625206,1.7161854690162145e-16,5.610616905074529e-15,0.0,0.0,1.0,True,
cycle,5,5.7,6.175338034975166e-15,-1.2427622473784285e-15,0.24795045026527684,3.3531761379367984,0.057970425702132136,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,5,,,,,,,6.15,1.7483037168202788e-14,-4.401203717663204e-15,0.8635098425602681,0.6,6.5122699048139605,0.0,0.0,0.0,0.0,1.0,-7.569957604811873e-15,-1.1004444895863919e-14,1.0,8.639875791180474e-15,-5.2991811658551634e-14,0.0,0.7041235248440316,,,,,,,,,1.0,True,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,6.47,2.6417890253489516e-14,-6.896309010784948e-15,0.24948473555090867,8.386107391961961e-16,2.7303186689792274e-14,0.0,0.0,1.0,True,
cycle,6,6.52,2.918367980316478e-14,-7.699973105677522e-15,0.24768511746841662,3.4746440147012687,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,6,,,,,,,6.9,6.26439517827461e-14,-1.753478037754538e-14,0.7133325623276884,0.6,7.217193698611902,0.0,0.0,-1.7386715452984894e-14,4.866746422088816e-15,1.0,-2.9490990485640823e-14,-1.087228001828947e-14,1.0,3.914892528307363e-14,-7.114653846331506e-14,0.09445718731625448,0.6579734129778432,,,,,,,,,1.0,True,
